name,translated_name,category,category_id,category_index,group,group_id,group_index,filename,youtube_link,description
seoi-nage,Shoulder Throw,te-waza,1,0,dai-ikkyo,1,8,judo_1-00_te-waza_seoi-nage.gif,https://youtu.be/zIq0xI0ogxk,A technique to throw the opponent over the right shoulder by breaking his balance forward and inserting the right elbow underneath his right armpit to carry him on the back.
ippon-seoi-nage,One-arm Shoulder Throw,te-waza,1,1,shinmeisho-no-waza,7,19,judo_1-01_te-waza_ippon-seoi-nage.gif,https://youtu.be/FQnOlCxo4oI,A technique to throw the opponent over the right shoulder by breaking his balance forward and holding his right arm from the inside with the right arm to carry him on the back.
seoi-otoshi,Shoulder Drop,te-waza,1,2,habukareta-waza,6,2,judo_1-02_te-waza_seoi-otoshi.gif,https://youtu.be/vu1TMVNnq34,A technique to pull down and throw the opponent by breaking his balance forward and falling on one of the knees or both while carrying him on the back.
tai-otoshi,Body Drop,te-waza,1,3,dai-nikyo,2,6,judo_1-03_te-waza_tai-otoshi.gif,https://youtu.be/4x6S3Q-Ktv8,A technique to pull down and throw the opponent by breaking his balance forward and turning the body to the left to put the right foot in front of his right foot.
kata-guruma,Shoulder Wheel,te-waza,1,4,sankyo,3,8,judo_1-04_te-waza_kata-guruma.gif,https://youtu.be/cnHRhSy8yi4,A technique to uplift the opponent on both shoulders across the back of the neck and throw him down by breaking his balance forward while holding his right thigh from the inside with the right arm.
sukui-nage,Scooping Throw,te-waza,1,5,yonkyo,4,4,judo_1-05_te-waza_sukui-nage.gif,https://youtu.be/vU6aJ2kFxoI,A technique to uplift and throw down the opponent by breaking his balance backward while stepping behind him and holding both of his thighs from the front side with both hands or another technique to uplift the opponent’s one of thighs and throw him down by inserting the hand between his legs.
obi-otoshi,Belt Drop,te-waza,1,6,habukareta-waza,6,1,judo_1-06_te-waza_obi-otoshi.gif,https://youtu.be/ff8U2TVZIYI,"A technique to uplift and throw down the opponent by grabbing the front side of his belt with the right hand, pulling it forward while stepping behind him and holding his hip from the front side with the left hand to break his balance backward."
uki-otoshi,Floating Drop,te-waza,1,7,yonkyo,4,8,judo_1-07_te-waza_uki-otoshi.gif,https://youtu.be/6H5tmncOY4Q,A technique to throw down the opponent by breaking his balance forward and pulling him down toward the frontal-right corner.
sumi-otoshi,Corner Drop,te-waza,1,8,gokyo,5,7,judo_1-08_te-waza_sumi-otoshi.gif,https://youtu.be/lLU9wv52ni0,A technique to push and throw down the opponent by breaking his balance toward the retral-right corner while stepping onto the outside of his right foot with the left.
yama-arashi,Mountain Storm,te-waza,1,9,habukareta-waza,6,3,judo_1-09_te-waza_yama-arashi.gif,https://youtu.be/MGlyKmSuzdc,A technique to sweep up the opponent’s right leg with the right foot and throw him down by grabbing his right sleeve with the left hand and gripping his right side-collar with the right thumb inside while breaking his balance by lifting him up forward.
obi-tori-gaeshi,Belt-taking Reversal,te-waza,1,10,uncategorized,8,0,judo_1-10_te-waza_obi-tori-gaeshi.gif,https://youtu.be/bpc82SrunUU,A technique to throw the opponent over the right shoulder by grabbing his belt over his shoulder with the right hand and holding his right arm or leg with the left hand while lifting him up.
morote-gari,Two-hand Reap,te-waza,1,11,shinmeisho-no-waza,7,1,judo_1-11_te-waza_morote-gari.gif,https://youtu.be/BHLQS4K85bs,A technique to reap and throw down the opponent by holding both of his legs from the outside in both hands.
kuchiki-taoshi,Single-hand Drop,te-waza,1,12,shinmeisho-no-waza,7,2,judo_1-12_te-waza_kuchiki-taoshi.gif,https://youtu.be/ZNL47q1aJNY,A technique to push down the opponent backward by holding one of his legs either from the inside or outside with one of the hands and pulling it up.
kibisu-gaeshi,Heel Trip Reversal,te-waza,1,13,shinmeisho-no-waza,7,3,judo_1-13_te-waza_kibisu-gaeshi.gif,https://youtu.be/tJylJYfBliA,A technique to throw the opponent by reaping his heel either from the inside or outside with one of the hands.
uchi-mata-sukashi,Inner Thigh Reap Counter,te-waza,1,14,shinmeisho-no-waza,7,4,judo_1-14_te-waza_uchi-mata-sukashi.gif,https://youtu.be/V-RS3uhtVWM,A technique to fend off the opponent’s Uchi-mata attempt and throw him down.
ko-uchi-gaeshi,Minor Inner Reap Counter,te-waza,1,15,shinmeisho-no-waza,7,7,judo_1-15_te-waza_ko-uchi-gaeshi.gif,https://youtu.be/_MWAdYi_LC4,A technique to dodge the opponent’s Ko-uchi-gari attempt and throw him down.
uki-goshi,Floating Hip,koshi-waza,2,0,dai-ikkyo,1,4,judo_2-00_koshi-waza_uki-goshi.gif,https://youtu.be/bPKwtB4lyOQ,A technique to throw down the opponent by breaking his balance forward and inserting the right arm through his left armpit while loading him slightly onto the hip and twisting the body.
o-goshi,Major Hip,koshi-waza,2,1,dai-ikkyo,1,6,judo_2-01_koshi-waza_o-goshi.gif,https://youtu.be/yhu1mfy2vJ4,A technique to load the opponent onto the back of the hip and throw him down by breaking his balance forward and inserting the right arm through his left armpit while holding his hip and drawing it closer.
koshi-guruma,Hip Wheel,koshi-waza,2,2,dai-nikyo,2,3,judo_2-02_koshi-waza_koshi-guruma.gif,https://youtu.be/SU7Id6uVJ44,A technique to rotate the opponent on the axis of the hip and throw him down by breaking his balance forward and holding his neck in the right arm while thrusting the hip deeply.
tsurikomi-goshi,Lifting Pulling Hip,koshi-waza,2,3,dai-nikyo,2,4,judo_2-03_koshi-waza_tsurikomi-goshi.gif,https://youtu.be/McfzA0yRVt4,A technique to load the opponent onto the back of the hip and throw him down by breaking his balance forward while gripping his left front-lapel with the right hand and lifting it up.
sode-tsurikomi-goshi,Sleeve-Lifting Pulling Hip,koshi-waza,2,4,shinmeisho-no-waza,7,18,judo_2-04_koshi-waza_sode-tsurikomi-goshi.gif,https://youtu.be/QsmAxpmYLOI,A technique to load the opponent onto the back of the hip and throw him down by breaking his balance forward while gripping his left sleeve with the right hand and lifting it up.
harai-goshi,Sweeping Hip,koshi-waza,2,5,dai-nikyo,2,7,judo_2-05_koshi-waza_harai-goshi.gif,https://youtu.be/qTo8HlAAkOo,A technique to sweep up the opponent with the right leg and throw him down by breaking his balance forward and loading him onto the back of the right hip.
tsuri-goshi,Lift Pull Hip,koshi-waza,2,6,sankyo,3,2,judo_2-06_koshi-waza_tsuri-goshi.gif,https://youtu.be/51Htlp7xEvE,A technique to load the opponent onto the back of the hip and throw him down by breaking his balance forward and grabbing the back of his belt to lift it up.
hane-goshi,Spring Hip,koshi-waza,2,7,sankyo,3,5,judo_2-07_koshi-waza_hane-goshi.gif,https://youtu.be/M9_7De6A1kk,A technique to spring up the opponent with the back of the right hip and the right leg and throw him down by breaking his balance forward.
utsuri-goshi,Shifting Hip,koshi-waza,2,8,yonkyo,4,5,judo_2-08_koshi-waza_utsuri-goshi.gif,https://youtu.be/4pQd_bEnlf0,"A technique to throw down the opponent by counteracting his Nage-waza or other attack, holding and lifting his hip with the right arm and shifting him onto the back of the hip."
ushiro-goshi,Rear Hip Throw,koshi-waza,2,9,gokyo,5,5,judo_2-09_koshi-waza_ushiro-goshi.gif,https://youtu.be/ORIYstuxYT8,A technique to throw down the opponent vertically by counteracting his Nage-waza or other attack and holding and lifting his hip.
de-ashi-harai,Forward Foot Sweep,ashi-waza,3,0,dai-ikkyo,1,1,judo_3-00_ashi-waza_de-ashi-harai.gif,https://youtu.be/4BUUvqxi_Kk,A technique to sweep the opponent’s right foot with the left foot and throw him down immediately when he takes a step forward and loads his weight onto it.
hiza-guruma,Knee Wheel,ashi-waza,3,1,dai-ikkyo,1,2,judo_3-01_ashi-waza_hiza-guruma.gif,https://youtu.be/JPJx9-oAVns,A technique to throw down the opponent by breaking his balance forward and hold his right knee with the left foot to rotate him around it.
sasae-tsurikomi-ashi,Propping-Lifting Pulling Ankle Throw,ashi-waza,3,2,dai-ikkyo,1,3,judo_3-02_ashi-waza_sasae-tsurikomi-ashi.gif,https://www.youtube.com/watch?v=699i--pvYmE,A technique to hold the opponent’s right ankle with the left foot and throw him down by breaking his balance while lifting him up forward.
o-soto-gari,Major Outer Reaping,ashi-waza,3,3,dai-ikkyo,1,5,judo_3-03_ashi-waza_o-soto-gari.gif,https://www.youtube.com/watch?v=c-A_nP7mKAc,A technique to reap the opponent’s right leg from the outside with the right leg and throw him down by breaking his balance backward.
o-uchi-gari,Major Inner Reaping,ashi-waza,3,4,dai-ikkyo,1,7,judo_3-04_ashi-waza_o-uchi-gari.gif,https://youtu.be/0itJFhV9pDQ,A technique to reap the opponent’s left leg from the inside with the right leg and throw him down by breaking his balance backward.
